,0
75,"['Action Points', 'Commodity Speculation', 'Variable Phase Order', 'Worker Placement']"
76,"['Grid Movement', 'Map Reduction', 'Race', 'Square Grid', 'Team-Based Game', 'Three Dimensional Movement', 'Variable Player Powers']"
77,"['Dice Rolling', 'Open Drafting', 'Point to Point Movement', 'Worker Placement with Dice Workers']"
78,"['Auction / Bidding', 'Auction: Once Around', 'Hand Management', 'Push Your Luck', 'Tech Trees / Tech Tracks']"
79,"['Deck, Bag, and Pool Building', 'Hand Management', 'Once-Per-Game Abilities', 'Player Elimination', 'Take That']"
80,"['Action Points', 'Area Movement', 'Betting and Bluffing', 'Card Play Conflict Resolution', 'Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Pick-up and Deliver', 'Take That', 'Variable Player Powers']"
81,"['Area Majority / Influence', 'Contracts', 'Dice Rolling', 'Events', 'Grid Coverage', 'Hand Management', 'Hexagon Grid', 'Income', 'Map Addition', 'Once-Per-Game Abilities', 'Open Drafting', 'Push Your Luck', 'Solo / Solitaire Game', 'Square Grid', 'Take That', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up']"
82,"['Auction / Bidding', 'Hexagon Grid', 'Investment', 'Market', 'Network and Route Building', 'Ownership', 'Stock Holding', 'Tile Placement', 'Victory Points as a Resource']"
83,"['Cooperative Game', 'Narrative Choice / Paragraph', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']"
84,"['Action Queue', 'Area Majority / Influence', 'Area Movement', 'Auction / Bidding', 'Cube Tower', 'Simultaneous Action Selection', 'Variable Phase Order']"
85,"['Dice Rolling', 'Events', 'Real-Time', 'Relative Movement', 'Team-Based Game', 'Tile Placement', 'Track Movement']"
86,"['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Hand Management', 'Income', 'Modular Board', 'Multi-Use Cards', 'Set Collection', 'Solo / Solitaire Game', 'Tech Trees / Tech Tracks', 'Turn Order: Auction', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement']"
87,"['End Game Bonuses', 'Hand Management', 'Race', 'Tech Trees / Tech Tracks', 'Variable Set-up', 'Worker Placement, Different Worker Types']"
88,"['Contracts', 'Hand Management', 'Income', 'Race', 'Turn Order: Progressive', 'Worker Placement']"
89,"['Action / Event', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Hand Management', 'Simulation']"
90,"['Cooperative Game', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling']"
91,"['Action Retrieval', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Multi-Use Cards', 'Open Drafting', 'Race', 'Resource to Move', 'Solo / Solitaire Game', 'Track Movement', 'Worker Placement']"
92,"['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Hand Management', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Claim Action', 'Worker Placement with Dice Workers']"
93,"['Cooperative Game', 'Deduction', 'Grid Movement', 'Hidden Movement', 'Paper-and-Pencil', 'Point to Point Movement', 'Team-Based Game', 'Variable Player Powers']"
94,"['Acting', 'Communication Limits', 'Open Drafting', 'Role Playing', 'Singing', 'Team-Based Game']"
95,"['Auction / Bidding', 'Loans', 'Network and Route Building', 'Ownership', 'Pick-up and Deliver', 'Tile Placement']"
96,"['Action Points', 'Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Modular Board', 'Negotiation', 'Scenario / Mission / Campaign Game', 'Storytelling', 'Take That', 'Variable Set-up']"
97,"['Open Drafting', 'Tile Placement', 'Turn Order: Stat-Based']"
98,"['Dice Rolling', 'Set Collection', 'Worker Placement', 'Worker Placement with Dice Workers']"
99,"['Cooperative Game', 'Hand Management', 'Modular Board', 'Solo / Solitaire Game', 'Variable Player Powers']"
100,"['Card Play Conflict Resolution', 'Hand Management', 'Melding and Splaying']"
101,"['Cooperative Game', 'Dice Rolling', 'Move Through Deck', 'Narrative Choice / Paragraph', 'Storytelling', 'Variable Player Powers']"
102,"['Dice Rolling', 'Events', 'Narrative Choice / Paragraph', 'Scenario / Mission / Campaign Game', 'Semi-Cooperative Game', 'Stat Check Resolution', 'Storytelling', 'Worker Placement']"
103,"['Action Points', 'Area Majority / Influence', 'Area Movement', 'Card Play Conflict Resolution', 'Hand Management', 'Open Drafting', 'Tech Trees / Tech Tracks']"
104,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Open Drafting', 'Player Elimination', 'Solo / Solitaire Game', 'Take That']"
105,"['End Game Bonuses', 'Hand Management', 'Layering', 'Multi-Use Cards', 'Open Drafting', 'Set Collection', 'Tags']"
106,"['Action Retrieval', 'Area Majority / Influence', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Open Drafting', 'Set Collection', 'Turn Order: Claim Action']"
107,"['Enclosure', 'Grid Movement', 'Hexagon Grid', 'Pattern Movement', 'Pieces as Map', 'Three Dimensional Movement', 'Tile Placement']"
108,"['Action Drafting', 'Action Points', 'Contracts', 'Dice Rolling', 'End Game Bonuses', 'Point to Point Movement', 'Set Collection', 'Variable Set-up']"
109,"['Dice Rolling', 'Take That', 'Team-Based Game', 'Variable Player Powers']"
110,"['Deduction', 'Hexagon Grid', 'Modular Board', 'Pattern Recognition']"
111,"['Action Points', 'Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Variable Player Powers']"
112,"['Area Majority / Influence', 'Hand Management', 'Open Drafting', 'Push Your Luck', 'Set Collection']"
113,"['Storytelling', 'Targeted Clues', 'Voting']"
114,"['Action Retrieval', 'Dice Rolling', 'Grid Movement', 'Line of Sight', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Square Grid', 'Take That', 'Variable Player Powers']"
115,"['Closed Drafting', 'Dice Rolling', 'Die Icon Resolution', 'Hand Management', 'Open Drafting', 'Tags', 'Take That', 'Turn Order: Progressive', 'Victory Points as a Resource']"
116,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting', 'Scenario / Mission / Campaign Game', 'Variable Phase Order', 'Variable Player Powers']"
117,"['Hand Management', 'Predictive Bid', 'Rock-Paper-Scissors', 'Trick-taking']"
118,"['Bids As Wagers', 'Bingo', 'Dice Rolling', 'End Game Bonuses', 'Paper-and-Pencil', 'Solo / Solitaire Game', 'Victory Points as a Resource']"
119,"['Communication Limits', 'Cooperative Game']"
120,"['Dice Rolling', 'Die Icon Resolution', 'End Game Bonuses', 'Events', 'Variable Player Powers', 'Worker Placement', 'Worker Placement, Different Worker Types']"
121,"['Advantage Token', 'Area Majority / Influence', 'Area Movement', 'Investment', 'Ownership', 'Rondel', 'Stock Holding', 'Victory Points as a Resource']"
122,"['Auction / Bidding', 'Pick-up and Deliver', 'Tech Trees / Tech Tracks']"
123,"['Deduction', 'Solo / Solitaire Game']"
124,"['Advantage Token', 'Area Movement', 'Market', 'Rondel']"
125,"['Drawing', 'Paper-and-Pencil']"
126,"['Grid Movement', 'Hand Management', 'Pattern Movement', 'Square Grid', 'Static Capture']"
127,"['Auction / Bidding', 'Hand Management', 'Selection Order Bid', 'Simultaneous Action Selection', 'Worker Placement']"
128,"['Cooperative Game', 'Dice Rolling', 'Modular Board', 'Point to Point Movement', 'Stat Check Resolution', 'Variable Player Powers']"
129,"['Auction: Turn Order Until Pass', 'Catch the Leader', 'Income', 'Market', 'Network and Route Building', 'Turn Order: Stat-Based']"
130,"['Hand Management', 'Melding and Splaying', 'Ordering', 'Push Your Luck', 'Score-and-Reset Game', 'Set Collection']"
131,"['Action Queue', 'Area Movement', 'Cooperative Game', 'Elapsed Real Time Ending', 'Hand Management', 'Real-Time', 'Simultaneous Action Selection', 'Solo / Solitaire Game']"
132,"['Area Majority / Influence', 'Set Collection', 'Turn Order: Claim Action', 'Worker Placement', 'Worker Placement, Different Worker Types']"
133,"['Hand Management', 'Income', 'Market', 'Set Collection', 'Turn Order: Progressive']"
134,"['Deck, Bag, and Pool Building', 'End Game Bonuses', 'Hand Management', 'Market', 'Move Through Deck', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Take That', 'Variable Player Powers', 'Variable Set-up']"
135,"['Auction / Bidding', 'Auction: Sealed Bid', 'Auction: Turn Order Until Pass', 'Hand Management', 'Selection Order Bid']"
136,"['Auction: Dutch', 'Income', 'Market', 'Ownership', 'Square Grid', 'Tile Placement']"
137,"['Bias', 'Bribery', 'End Game Bonuses', 'Legacy Game', 'Storytelling', 'Voting']"
138,"['Closed Drafting', 'Contracts', 'End Game Bonuses', 'Hand Management', 'Income', 'Multi-Use Cards', 'Open Drafting', 'Solo / Solitaire Game', 'Take That', 'Turn Order: Progressive', 'Variable Player Powers']"
139,"['Deduction', 'Hand Management', 'Player Elimination', 'Score-and-Reset Game', 'Take That']"
140,"['Enclosure', 'Hand Management', 'Predictive Bid', 'Trick-taking']"
141,"['Automatic Resource Growth', 'End Game Bonuses', 'Follow', 'Once-Per-Game Abilities', 'Open Drafting', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Progressive', 'Variable Set-up']"
142,"['Auction / Bidding', 'Market', 'Modular Board', 'Network and Route Building', 'Open Drafting', 'Tile Placement', 'Turn Order: Auction', 'Variable Player Powers', 'Variable Set-up']"
143,"['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Communication Limits', 'Hand Management', 'Map Reduction', 'Memory', 'Simulation', 'Team-Based Game', 'Variable Set-up']"
144,"['Action Points', 'Area Majority / Influence', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Push Your Luck', 'Simulation', 'Solo / Solitaire Game', 'Stat Check Resolution']"
145,"['Action Points', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Map Reduction', 'Memory', 'Modular Board', 'Secret Unit Deployment', 'Take That']"
146,"['Card Play Conflict Resolution', 'Hand Management', 'Hidden Movement', 'Point to Point Movement', 'Resource to Move', 'Rock-Paper-Scissors', 'Secret Unit Deployment', 'Team-Based Game', 'Variable Player Powers']"
147,"['Hand Management', 'Open Drafting', 'Push Your Luck', 'Score-and-Reset Game', 'Set Collection', 'Sudden Death Ending']"
148,"['Deduction', 'Hand Management', 'Player Elimination', 'Score-and-Reset Game', 'Take That']"
149,"['Action Queue', 'Bias', 'Cooperative Game', 'Dice Rolling', 'Events', 'Hexagon Grid', 'Modular Board', 'Solo / Solitaire Game', 'Team-Based Game', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers']"
150,"['Hand Management', 'Investment', 'Market', 'Square Grid', 'Stock Holding', 'Tile Placement', 'Victory Points as a Resource']"
151,"['Action Points', 'Area Majority / Influence', 'Auction / Bidding', 'Grid Movement', 'Hexagon Grid', 'Layering', 'Map Addition', 'Modular Board', 'Set Collection', 'Tile Placement', 'Victory Points as a Resource']"
152,"['Deck Construction', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Stat Check Resolution', 'Variable Player Powers']"
153,"['Action Retrieval', 'Auction: Dutch', 'Contracts', 'Deck, Bag, and Pool Building', 'Hand Management', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Set Collection']"
154,"['Dice Rolling', 'Map Addition', 'Role Playing', 'Solo / Solitaire Game', 'Storytelling', 'Tile Placement']"
155,"['Area Majority / Influence', 'Closed Drafting', 'End Game Bonuses', 'Grid Coverage', 'Square Grid']"
156,"['Dice Rolling', 'Hand Management', 'Multi-Use Cards']"
157,"['Deduction', 'Hand Management', 'Roles with Asymmetric Information', 'Trading']"
158,"['Grid Coverage', 'Highest-Lowest Scoring', 'Once-Per-Game Abilities', 'Rondel', 'Tile Placement', 'Track Movement', 'Turn Order: Claim Action', 'Turn Order: Pass Order']"
159,"['Area Majority / Influence', 'Area Movement', 'Investment', 'Ownership', 'Rondel', 'Stock Holding', 'Victory Points as a Resource']"
160,"['Action Retrieval', 'Contracts', 'Dice Rolling', 'End Game Bonuses', 'Follow', 'Open Drafting', 'Re-rolling and Locking', 'Solo / Solitaire Game', 'Take That', 'Variable Phase Order', 'Variable Player Powers']"
161,"['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Events', 'Hand Management', 'Increase Value of Unchosen Resources', 'Narrative Choice / Paragraph', 'Open Drafting', 'Pick-up and Deliver', 'Point to Point Movement', 'Race', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers', 'Variable Set-up']"
162,"['Area Majority / Influence', 'Auction / Bidding', 'Grid Movement', 'Hexagon Grid', 'Modular Board', 'Simultaneous Action Selection', 'Variable Player Powers']"
163,"['Area Majority / Influence', 'Dice Rolling', 'Open Drafting', 'Worker Placement with Dice Workers']"
164,['Cooperative Game']
165,"['Action Points', 'Card Play Conflict Resolution', 'Deck Construction', 'Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Hand Management', 'Multi-Use Cards', 'Take That', 'Variable Player Powers']"
166,"['Enclosure', 'Income', 'Investment', 'Negotiation', 'Set Collection', 'Tile Placement', 'Trading', 'Victory Points as a Resource']"
167,"['Open Drafting', 'Turn Order: Claim Action', 'Worker Placement']"
168,"['Area Movement', 'Dice Rolling', 'Hidden Victory Points', 'Increase Value of Unchosen Resources', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']"
169,"['Income', 'Multi-Use Cards', 'Solo / Solitaire Game', 'Tile Placement', 'Variable Player Powers', 'Worker Placement']"
170,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Map Addition', 'Modular Board', 'Multiple Maps', 'Solo / Solitaire Game', 'Square Grid', 'Three Dimensional Movement', 'Variable Player Powers']"
171,"['Action Points', 'Open Drafting', 'Pattern Building', 'Resource Queue', 'Solo / Solitaire Game', 'Tile Placement']"
172,"['Action Points', 'Dice Rolling', 'Narrative Choice / Paragraph', 'Set Collection', 'Storytelling', 'Trading', 'Turn Order: Progressive']"
173,"['Hand Management', 'Pattern Building', 'Set Collection', 'Tile Placement']"
174,"['Contracts', 'End Game Bonuses', 'Hand Management', 'Modular Board', 'Set Collection', 'Solo / Solitaire Game', 'Worker Placement']"
175,"['Area Majority / Influence', 'End Game Bonuses', 'Modular Board', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Tile Placement', 'Track Movement', 'Worker Placement with Dice Workers', 'Worker Placement, Different Worker Types']"
176,"['Contracts', 'Market', 'Pattern Building', 'Point to Point Movement', 'Set Collection', 'Solo / Solitaire Game', 'Tile Placement']"
177,"['Action Points', 'Area Movement', 'Bias', 'Dice Rolling', 'Events', 'Pick-up and Deliver', 'Race', 'Variable Player Powers', 'Variable Set-up']"
178,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Narrative Choice / Paragraph', 'Push Your Luck', 'Semi-Cooperative Game', 'Storytelling', 'Trading', 'Traitor Game', 'Variable Player Powers', 'Voting']"
179,"['Grid Coverage', 'Hexagon Grid', 'Modular Board', 'Square Grid', 'Tile Placement', 'Trading']"
180,"['Contracts', 'Dice Rolling', 'Hand Management', 'Open Drafting', 'Solo / Solitaire Game', 'Variable Player Powers', 'Worker Placement', 'Worker Placement, Different Worker Types']"
181,"['Follow', 'Hand Management', 'Layering', 'Melding and Splaying', 'Take That', 'Tech Trees / Tech Tracks']"
182,"['Area Majority / Influence', 'Connections', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Line of Sight', 'Player Elimination', 'Solo / Solitaire Game', 'Team-Based Game', 'Tile Placement', 'Variable Player Powers']"
183,"['Action Drafting', 'Income', 'Open Drafting', 'Pattern Building', 'Turn Order: Stat-Based', 'Variable Set-up']"
