,0
24,"['Cooperative Game', 'Deduction', 'Ordering', 'Player Judge', 'Targeted Clues']"
25,"['Hand Management', 'Layering', 'Pattern Building', 'Tile Placement']"
26,"['Area Majority / Influence', 'Hand Management', 'Tug of War', 'Variable Player Powers', 'Worker Placement']"
27,"['Dice Rolling', 'Hexagon Grid', 'Line of Sight']"
28,"['Automatic Resource Growth', 'Grid Coverage', 'Modular Board', 'Race', 'Rondel', 'Tile Placement']"
29,"['Action Drafting', 'Area Majority / Influence', 'Dice Rolling']"
30,"['Area Majority / Influence', 'Cooperative Game', 'Market', 'Open Drafting', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Tile Placement', 'Worker Placement']"
31,"['Dice Rolling', 'Single Loser Game', 'Stacking and Balancing']"
32,"['Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting']"
33,"['Area Majority / Influence', 'Grid Movement', 'Hand Management', 'Modular Board', 'Set Collection']"
34,"['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Follow', 'Hand Management', 'Income', 'Layering', 'Market', 'Open Drafting', 'Tags', 'Variable Phase Order']"
35,"['Betting and Bluffing', 'Dice Rolling', 'Player Elimination']"
36,"['Hand Management', 'Point to Point Movement', 'Team-Based Game', 'Variable Player Powers']"
37,"['Roles with Asymmetric Information', 'Storytelling', 'Targeted Clues', 'Team-Based Game', 'Voting']"
38,"['Cooperative Game', 'Dice Rolling', 'Finale Ending', 'Modular Board', 'Solo / Solitaire Game', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up']"
39,"['Chaining', 'Enclosure', 'Grid Coverage', 'Hand Management', 'Player Elimination', 'Square Grid', 'Tile Placement']"
40,"['Action Points', 'Action Queue', 'Area Majority / Influence', 'Area Movement', 'Cube Tower', 'Simulation', 'Simultaneous Action Selection', 'Variable Phase Order']"
41,"['Pick-up and Deliver', 'Push Your Luck', 'Roll / Spin and Move']"
42,"['Area Majority / Influence', 'Chit-Pull System', 'Simulation', 'Solo / Solitaire Game']"
43,"['Hand Management', 'Take That', 'Variable Player Powers']"
44,"['Contracts', 'End Game Bonuses', 'Modular Board', 'Open Drafting', 'Rondel', 'Set Collection', 'Tile Placement']"
45,"['End Game Bonuses', 'Income', 'Open Drafting', 'Simulation', 'Solo / Solitaire Game', 'Turn Order: Stat-Based', 'Variable Player Powers', 'Worker Placement']"
46,"['Action Drafting', 'Area Majority / Influence', 'Grid Coverage', 'Layering', 'Open Drafting', 'Square Grid', 'Tile Placement']"
47,"['Contracts', 'Mancala', 'Once-Per-Game Abilities', 'Rondel', 'Set Collection']"
48,"['Action Points', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Negotiation', 'Trading']"
49,"['Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Narrative Choice / Paragraph', 'Paper-and-Pencil', 'Scenario / Mission / Campaign Game', 'Storytelling']"
50,"['Dice Rolling', 'Income', 'Investment', 'Open Drafting', 'Race', 'Simultaneous Action Selection', 'Tech Trees / Tech Tracks']"
51,"['Hand Management', 'Variable Player Powers']"
52,"['Betting and Bluffing', 'Hand Management', 'Predictive Bid', 'Trick-taking']"
53,"['Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Command Cards', 'Dice Rolling', 'Die Icon Resolution', 'Sudden Death Ending', 'Team-Based Game', 'Turn Order: Random', 'Variable Player Powers', 'Variable Set-up']"
54,"['Tile Placement', 'Worker Placement']"
55,"['Action Queue', 'Contracts', 'Events', 'Hand Management', 'Highest-Lowest Scoring', 'Modular Board', 'Rondel', 'Solo / Solitaire Game', 'Worker Placement']"
56,"['Hand Management', 'Open Drafting', 'Pattern Building', 'Push Your Luck', 'Set Collection', 'Turn Order: Claim Action', 'Worker Placement']"
57,"['Area Majority / Influence', 'Hand Management', 'Income', 'Layering', 'Market', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Open Drafting', 'Point to Point Movement', 'Race', 'Relative Movement', 'Set Collection', 'Sudden Death Ending', 'Tags', 'Take That', 'Tech Trees / Tech Tracks', 'Variable Player Powers', 'Variable Set-up']"
58,"['Grid Movement', 'Modular Board', 'Real-Time', 'Square Grid', 'Turn Order: Stat-Based', 'Variable Set-up']"
59,"['Matching', 'Memory', 'Questions and Answers', 'Set Collection']"
60,"['Area Majority / Influence', 'Chaining', 'Connections', 'End Game Bonuses', 'Hexagon Grid', 'Network and Route Building', 'Score-and-Reset Game', 'Set Collection', 'Variable Set-up']"
61,"['Contracts', 'Dice Rolling', 'Events', 'Secret Unit Deployment', 'Set Collection', 'Variable Player Powers', 'Worker Placement', 'Worker Placement with Dice Workers']"
62,"['Area Majority / Influence', 'Set Collection', 'Variable Player Powers', 'Worker Placement', 'Worker Placement, Different Worker Types']"
63,"['Move Through Deck', 'Push Your Luck', 'Score-and-Reset Game', 'Simultaneous Action Selection']"
64,"['Hand Management', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tile Placement', 'Variable Player Powers', 'Worker Placement']"
65,"['Action Drafting', 'Action Points', 'Dice Rolling', 'Hexagon Grid', 'I Cut, You Choose', 'Modular Board', 'Solo / Solitaire Game', 'Variable Phase Order', 'Worker Placement', 'Worker Placement with Dice Workers']"
66,"['Hand Management', 'Random Production']"
67,"['Income', 'Open Drafting', 'Set Collection']"
68,"['Bingo', 'Connections', 'Dice Rolling', 'Line Drawing', 'Network and Route Building', 'Paper-and-Pencil', 'Simultaneous Action Selection', 'Solo / Solitaire Game']"
69,"['Action Points', 'Dice Rolling', 'Grid Movement', 'Modular Board']"
70,"['Dice Rolling', 'Flicking']"
71,"['Hand Management', 'Income', 'Loans', 'Open Drafting', 'Set Collection', 'Take That', 'Turn Order: Progressive']"
72,"['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Set Collection', 'Tile Placement', 'Variable Player Powers']"
73,"['Area Majority / Influence', 'Area Movement', 'Deck, Bag, and Pool Building', 'Events', 'Hand Management', 'Multi-Use Cards', 'Point to Point Movement', 'Variable Player Powers', 'Victory Points as a Resource']"
74,"['Auction / Bidding', 'Auction: Turn Order Until Pass', 'Commodity Speculation', 'Market', 'Set Collection']"
75,"['Hand Management', 'Take That', 'Variable Player Powers']"
76,"['Area Majority / Influence', 'Betting and Bluffing', 'Hidden Victory Points', 'Take That', 'Worker Placement']"
77,[]
78,"['Contracts', 'Hand Management', 'Point to Point Movement', 'Solo / Solitaire Game']"
79,['Cooperative Game']
80,"['Closed Drafting', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Storytelling']"
81,"['Dice Rolling', 'Paper-and-Pencil', 'Re-rolling and Locking', 'Solo / Solitaire Game']"
82,"['Hand Management', 'Ladder Climbing', 'Player Elimination', 'Score-and-Reset Game', 'Set Collection']"
83,"['Action Drafting', 'Area Majority / Influence', 'Automatic Resource Growth', 'Contracts', 'Dice Rolling', 'Hand Management', 'Income', 'Market', 'Multi-Use Cards', 'Open Drafting', 'Turn Order: Stat-Based', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']"
84,"['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Events', 'Point to Point Movement', 'Simulation', 'Variable Set-up']"
85,"['Action Points', 'Area Majority / Influence', 'Card Play Conflict Resolution', 'Follow', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Worker Placement']"
86,"['Action Points', 'Area Majority / Influence', 'Cooperative Game', 'Deck Construction', 'Hand Management', 'Point to Point Movement', 'Team-Based Game', 'Variable Player Powers']"
87,"['Area Majority / Influence', 'Dice Rolling', 'Moving Multiple Units', 'Pick-up and Deliver', 'Point to Point Movement', 'Slide / Push', 'Stock Holding', 'Worker Placement']"
88,"['Bias', 'Dice Rolling', 'Hand Management', 'Map Addition', 'Map Reduction', 'Slide / Push', 'Solo / Solitaire Game', 'Tile Placement', 'Variable Set-up', 'Worker Placement with Dice Workers']"
89,"['Deck Construction', 'Hand Management', 'Income', 'Take That']"
90,"['Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Elapsed Real Time Ending', 'Open Drafting', 'Pattern Building', 'Real-Time', 'Solo / Solitaire Game']"
91,"['Deck, Bag, and Pool Building', 'Hand Management', 'Hidden Movement', 'Race', 'Simultaneous Action Selection', 'Team-Based Game']"
92,"['Action Points', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Line of Sight', 'Modular Board', 'Pick-up and Deliver', 'Pieces as Map', 'Role Playing', 'Secret Unit Deployment', 'Take That', 'Tile Placement', 'Variable Player Powers']"
93,"['Area Majority / Influence', 'Auction / Bidding', 'Auction: Once Around', 'Bribery', 'Commodity Speculation', 'Tile Placement', 'Victory Points as a Resource']"
94,"['Area Majority / Influence', 'Auction / Bidding', 'Auction: Sealed Bid', 'Catch the Leader', 'Variable Player Powers']"
95,"['Action Drafting', 'Action Points', 'Open Drafting', 'Set Collection', 'Turn Order: Claim Action']"
96,"['Campaign / Battle Card Driven', 'Hand Management', 'Relative Movement', 'Simulation', 'Variable Player Powers']"
97,"['Auction: Dutch', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Open Drafting', 'Race', 'Set Collection', 'Take That', 'Team-Based Game']"
98,"['Betting and Bluffing', 'Dice Rolling', 'Hidden Victory Points', 'Push Your Luck']"
99,"['Commodity Speculation', 'Dice Rolling', 'Rondel', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Time Track', 'Variable Player Powers', 'Worker Placement']"
100,"['Grid Movement', 'Pattern Movement', 'Square Grid', 'Tile Placement']"
101,"['Cooperative Game', 'Real-Time', 'Scenario / Mission / Campaign Game']"
102,"['Critical Hits and Failures', 'Dice Rolling', 'Events', 'Grid Movement', 'Hexagon Grid', 'Line of Sight', 'Modular Board', 'Movement Points', 'Ratio / Combat Results Table', 'Scenario / Mission / Campaign Game', 'Simulation', 'Variable Set-up']"
103,"['Dice Rolling', 'Die Icon Resolution', 'King of the Hill', 'Open Drafting', 'Player Elimination', 'Push Your Luck', 'Re-rolling and Locking', 'Tags', 'Take That']"
104,"['Action Points', 'Contracts', 'Hand Management', 'Set Collection', 'Take That']"
105,"['Line of Sight', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tile Placement', 'Variable Player Powers']"
106,"['Dice Rolling', 'Events', 'Narrative Choice / Paragraph', 'Set Collection', 'Storytelling', 'Variable Player Powers', 'Worker Placement', 'Worker Placement, Different Worker Types']"
107,"['Communication Limits', 'Cooperative Game', 'Spelling']"
108,"['Deduction', 'Hand Management', 'Hidden Movement', 'Memory', 'Secret Unit Deployment']"
109,"['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Variable Player Powers']"
110,"['Action Retrieval', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Square Grid', 'Variable Player Powers']"
111,"['Cooperative Game', 'Grid Movement', 'Hand Management', 'Modular Board', 'Solo / Solitaire Game']"
112,"['Catch the Leader', 'Network and Route Building', 'Pick-up and Deliver', 'Simulation', 'Solo / Solitaire Game', 'Three Dimensional Movement', 'Tile Placement']"
113,"['Action Points', 'Area Movement', 'Cooperative Game', 'Hand Management', 'Set Collection', 'Solo / Solitaire Game', 'Trading', 'Variable Player Powers']"
114,"['Hand Management', 'Open Drafting', 'Set Collection']"
115,"['Area Movement', 'Events', 'Set Collection', 'Take That', 'Variable Set-up', 'Worker Placement', 'Worker Placement, Different Worker Types']"
116,"['Closed Drafting', 'Open Drafting', 'Simultaneous Action Selection', 'Tile Placement', 'Variable Player Powers']"
117,"['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Events', 'Hand Management', 'Simulation']"
118,"['End Game Bonuses', 'Open Drafting', 'Pattern Building', 'Tile Placement', 'Turn Order: Claim Action']"
119,"['Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Modular Board', 'Move Through Deck', 'Player Elimination', 'Solo / Solitaire Game', 'Square Grid', 'Variable Player Powers', 'Variable Set-up']"
120,"['Hand Management', 'Set Collection']"
121,"['Deduction', 'Hand Management', 'Player Elimination', 'Push Your Luck', 'Score-and-Reset Game', 'Take That']"
122,"['Card Play Conflict Resolution', 'Contracts', 'Grid Movement', 'Hexagon Grid', 'Modular Board', 'Once-Per-Game Abilities', 'Open Drafting', 'Solo / Solitaire Game', 'Tile Placement', 'Variable Player Powers']"
123,"['Area Majority / Influence', 'Hand Management', 'Order Counters', 'Secret Unit Deployment', 'Variable Player Powers']"
124,"['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Push Your Luck', 'Real-Time', 'Variable Player Powers']"
125,"['Area Majority / Influence', 'Hand Management', 'Income', 'Layering', 'Market', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Open Drafting', 'Point to Point Movement', 'Race', 'Relative Movement', 'Set Collection', 'Sudden Death Ending', 'Tags', 'Take That', 'Tech Trees / Tech Tracks', 'Variable Player Powers', 'Variable Set-up']"
126,"['Action Queue', 'Area Majority / Influence', 'Auction: Sealed Bid', 'Highest-Lowest Scoring', 'Pick-up and Deliver', 'Point to Point Movement', 'Programmed Movement', 'Simultaneous Action Selection']"
127,"['Deck, Bag, and Pool Building', 'Dice Rolling', 'Hexagon Grid', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Simulation']"
128,"['Grid Movement', 'Map Reduction', 'Set Collection']"
129,"['Auction / Bidding', 'Hand Management', 'Open Drafting', 'Set Collection', 'Sudden Death Ending', 'Worker Placement']"
130,"['Closed Drafting', 'Ordering', 'Pattern Building', 'Set Collection']"
131,"['Area Majority / Influence', 'Area Movement', 'Auction / Bidding', 'Contracts', 'End Game Bonuses', 'Open Drafting', 'Selection Order Bid', 'Solo / Solitaire Game', 'Take That', 'Variable Player Powers']"
132,"['Card Play Conflict Resolution', 'Force Commitment', 'Hand Management', 'Variable Player Powers']"
133,"['Dice Rolling', 'Income', 'Movement Points', 'Tile Placement', 'Worker Placement']"
134,['Push Your Luck']
135,"['Area Majority / Influence', 'Hot Potato', 'Increase Value of Unchosen Resources', 'Investment', 'Score-and-Reset Game', 'Set Collection', 'Stock Holding']"
136,"['Push Your Luck', 'Tile Placement', 'Turn Order: Claim Action', 'Worker Placement']"
137,"['Card Play Conflict Resolution', 'Events', 'Hand Management', 'Point to Point Movement', 'Secret Unit Deployment', 'Simulation', 'Variable Set-up']"
138,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Melding and Splaying', 'Move Through Deck', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']"
139,"['Deck, Bag, and Pool Building', 'Memory', 'Once-Per-Game Abilities', 'Push Your Luck', 'Solo / Solitaire Game', 'Variable Set-up']"
140,"['Bingo', 'Dice Rolling', 'Paper-and-Pencil']"
141,"['Action Retrieval', 'Area Majority / Influence', 'Auction Compensation', 'Grid Coverage', 'Square Grid']"
142,"['Area Majority / Influence', 'Commodity Speculation', 'Hand Management', 'Open Drafting', 'Tile Placement']"
143,"['Cooperative Game', 'Hand Management', 'Solo / Solitaire Game']"
144,"['Auction / Bidding', 'Grid Movement', 'Once-Per-Game Abilities', 'Set Collection', 'Turn Order: Auction']"
145,"['Action Points', 'Cooperative Game', 'Grid Movement', 'Hand Management', 'Map Reduction', 'Modular Board', 'Pick-up and Deliver', 'Set Collection', 'Solo / Solitaire Game', 'Square Grid', 'Tile Placement', 'Variable Player Powers']"
146,"['Action Points', 'Dice Rolling', 'Hexagon Grid', 'Modular Board', 'Tile Placement']"
147,"['Hand Management', 'Lose a Turn', 'Score-and-Reset Game', 'Stacking and Balancing']"
148,"['Auction: Dutch Priority', 'Events', 'Income', 'Worker Placement']"
149,"['Action Queue', 'Auction / Bidding', 'Hand Management', 'Map Deformation', 'Set Collection', 'Worker Placement']"
150,"['Hidden Roles', 'Roles with Asymmetric Information', 'Traitor Game', 'Variable Player Powers', 'Voting']"
151,"['Campaign / Battle Card Driven', 'Hexagon Grid', 'Line of Sight', 'Scenario / Mission / Campaign Game', 'Simulation', 'Variable Phase Order']"
152,"['Hand Management', 'Set Collection']"
153,"['Action / Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'End Game Bonuses', 'Hand Management', 'Take That', 'Tug of War']"
154,"['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Movement Points', 'Point to Point Movement', 'Simulation', 'Variable Player Powers']"
155,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Variable Player Powers']"
156,"['Action Queue', 'Deduction', 'Hidden Movement', 'Point to Point Movement', 'Push Your Luck', 'Solo / Solitaire Game']"
157,"['Action Drafting', 'Area Majority / Influence', 'Deck, Bag, and Pool Building', 'Grid Movement', 'Hexagon Grid', 'Modular Board', 'Movement Points', 'Variable Player Powers']"
158,"['Auction / Bidding', 'Auction: Sealed Bid', 'Commodity Speculation', 'Pick-up and Deliver', 'Set Collection']"
159,"['Hand Management', 'Layering', 'Open Drafting', 'Pattern Building']"
160,"['Contracts', 'Delayed Purchase', 'End Game Bonuses', 'Market', 'Network and Route Building', 'Point to Point Movement', 'Sudden Death Ending', 'Turn Order: Stat-Based', 'Victory Points as a Resource']"
161,"['Dice Rolling', 'Hand Management', 'Modular Board', 'Race', 'Roll / Spin and Move', 'Set Collection', 'Track Movement']"
162,"['Take That', 'Trick-taking', 'Tug of War', 'Variable Phase Order']"
163,"['Contracts', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Paper-and-Pencil', 'Push Your Luck', 'Re-rolling and Locking', 'Solo / Solitaire Game']"
164,"['Betting and Bluffing', 'Hand Management']"
165,"['Area Majority / Influence', 'Tile Placement']"
166,"['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Open Drafting']"
167,"['Deck Construction', 'Deck, Bag, and Pool Building', 'Finale Ending', 'Hand Management', 'Open Drafting']"
168,"['Action Queue', 'Hidden Victory Points', 'Ownership', 'Take That', 'Turn Order: Claim Action', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement']"
169,"['Auction / Bidding', 'Auction: Turn Order Until Pass', 'Closed Economy Auction', 'End Game Bonuses', 'Victory Points as a Resource']"
170,['Drawing']
171,"['Flicking', 'Player Elimination', 'Role Playing', 'Team-Based Game', 'Variable Player Powers']"
172,"['Action Points', 'Hand Management', 'Map Addition', 'Modular Board', 'Network and Route Building', 'Pick-up and Deliver', 'Tile Placement']"
173,"['Open Drafting', 'Player Elimination', 'Simultaneous Action Selection', 'Take That', 'Variable Player Powers']"
174,"['Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Take That', 'Variable Player Powers']"
175,"['Different Dice Movement', 'Grid Movement', 'Player Elimination', 'Push Your Luck', 'Race', 'Roll / Spin and Move', 'Simulation', 'Team-Based Game']"
176,"['Dice Rolling', 'Hand Management', 'Modular Board', 'Roll / Spin and Move', 'Scenario / Mission / Campaign Game', 'Team-Based Game', 'Variable Player Powers']"
177,"['Automatic Resource Growth', 'Cooperative Game', 'Hand Management', 'Melding and Splaying', 'Simultaneous Action Selection', 'Variable Player Powers']"
178,"['Area Majority / Influence', 'I Cut, You Choose', 'Open Drafting']"
179,"['Action Points', 'Dice Rolling', 'Hexagon Grid', 'Modular Board', 'Simulation']"
180,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Hand Management', 'Memory', 'Move Through Deck', 'Simultaneous Action Selection', 'Solo / Solitaire Game']"
181,"['Network and Route Building', 'Open Drafting', 'Stock Holding']"
182,"['Acting', 'Communication Limits', 'Memory', 'Role Playing', 'Roles with Asymmetric Information', 'Targeted Clues', 'Traitor Game', 'Voting']"
183,"['Area Movement', 'Secret Unit Deployment', 'Simulation']"
184,"['Communication Limits', 'Cooperative Game']"
185,"['Action Points', 'Dice Rolling', 'Set Collection']"
186,"['Communication Limits', 'Cooperative Game', 'Finale Ending', 'Hand Management']"
187,"['Deck, Bag, and Pool Building', 'Dice Rolling', 'Variable Player Powers']"
188,"['Increase Value of Unchosen Resources', 'Set Collection', 'Tile Placement']"
189,"['Bias', 'End Game Bonuses', 'Grid Coverage', 'Open Drafting']"
190,"['Deduction', 'Push Your Luck', 'Race', 'Targeted Clues']"
191,"['Grid Movement', 'Network and Route Building', 'Square Grid']"
192,"['Dice Rolling', 'Grid Movement', 'Hand Management', 'Variable Player Powers']"
193,"['Action Points', 'Area Movement', 'Card Play Conflict Resolution', 'Hidden Movement', 'Map Deformation', 'Map Reduction', 'Modular Board', 'Player Elimination', 'Secret Unit Deployment', 'Team-Based Game', 'Variable Player Powers']"
194,"['Action Timer', 'Cooperative Game', 'Real-Time', 'Simulation', 'Solo / Solitaire Game', 'Worker Placement']"
195,"['Auction / Bidding', 'Bribery', 'Dice Rolling', 'Grid Movement', 'Negotiation', 'Pick-up and Deliver', 'Set Collection', 'Trading']"
196,"['Action Points', 'Auction / Bidding', 'Dice Rolling', 'Turn Order: Time Track']"
197,"['Contracts', 'Enclosure', 'Hidden Victory Points', 'Solo / Solitaire Game', 'Worker Placement']"
198,"['Dice Rolling', 'Set Collection', 'Variable Set-up', 'Worker Placement', 'Worker Placement with Dice Workers']"
199,"['Dice Rolling', 'Tech Trees / Tech Tracks', 'Worker Placement', 'Worker Placement with Dice Workers']"
